"date","time","exercise","equipment","weight","repetitions","notes"
"2020-09-10","15:50:11","deadlift","dumbbell, pair",80,14,""
"2020-09-10","15:47:26","deadlift","dumbbell, pair",80,12,""
"2020-09-10","15:45:32","deadlift","dumbbell, pair",80,10,""
"2020-09-10","15:42:00","deadlift","dumbbell, pair",80,10,""
"2020-09-10","15:39:49","deadlift","dumbbell, pair",80,8,"added back support"
"2020-09-10","15:36:18","lateral raise","dumbbell, pair",30,12,"cheating movements (only once at end)"
"2020-09-10","15:33:44","lateral raise","dumbbell, pair",30,12,"cheating movements"
"2020-09-10","15:31:54","lateral raise","dumbbell, pair",30,10,"limited range of movement"
"2020-09-10","15:30:09","lateral raise","dumbbell, pair",30,8,""
"2020-09-10","15:27:59","lateral raise","dumbbell, pair",30,6,""
"2020-09-10","15:25:48","chest press, floor","dumbbell, pair",80,8,"failed 9th rep on right hand"
"2020-09-10","15:22:27","chest press, floor","dumbbell, pair",80,8,""
"2020-09-10","15:20:25","chest press, floor","dumbbell, pair",80,6,""
"2020-09-10","15:15:22","chest press, floor","dumbbell, pair",80,5,""
"2020-09-10","15:13:47","chest press, floor","dumbbell, pair",40,15,"warm up"
"2020-09-10","15:11:48","bicep curl","dumbbell, pair",40,12,"cheating movements"
"2020-09-10","15:09:25","bicep curl","dumbbell, pair",40,12,"cheating movements"
"2020-09-10","15:07:14","bicep curl","dumbbell, pair",40,10,""
"2020-09-10","15:05:09","bicep curl","dumbbell, pair",40,8,""
"2020-09-10","15:03:43","bicep curl","dumbbell, pair",30,20,"cheating movements"
"2020-09-10","15:02:06","bicep curl","dumbbell, pair",30,15,""
"2020-09-10","15:00:28","squat, sumo","dumbbell, pair",80,13,""
"2020-09-10","14:57:22","squat, sumo","dumbbell, pair",80,10,""
"2020-09-10","14:55:21","squat, sumo","dumbbell, pair",80,10,""
"2020-09-10","14:53:32","squat, sumo","dumbbell, pair",80,8,""
"2020-09-10","14:52:07","squat, sumo","dumbbell, pair",80,6,"dumbs positioned forward like barbell"
"2020-09-10","14:49:37","squat, sumo","dumbbell, pair",40,15,"warm up"
"2020-09-10","14:48:14","session start",NA,NA,NA,NA
