"date","time","exercise","equipment","weight","repetitions","hand","grip","quality","support","notes"
"2020-09-22","16:34:58","deadlift, sumo","dumbbell, pair",80,8,"both","","amrap / until failure, cheating","",""
"2020-09-22","16:33:23","deadlift, sumo","dumbbell, pair",80,5,"both","","amrap / until failure","",""
"2020-09-22","16:32:15","deadlift, sumo","dumbbell, pair",80,6,"both","","","",""
"2020-09-22","16:30:53","deadlift, sumo","dumbbell, pair",80,6,"both","","","",""
"2020-09-22","16:29:40","deadlift, sumo","dumbbell, pair",80,6,"both","","warm up","",""
"2020-09-22","16:27:49","squat, sumo","dumbbell, pair",80,13,"both","","amrap / until failure","","meant to be both handed for sumo squats bruh woops..."
"2020-09-22","16:26:24","squat, sumo","dumbbell, pair",80,8,"right","","","","tired af"
"2020-09-22","16:25:13","squat, sumo","dumbbell, pair",80,8,"right","","","",""
"2020-09-22","16:24:03","squat, sumo","dumbbell, pair",80,5,"right","","","",""
"2020-09-22","16:23:17","squat, sumo","dumbbell, pair",40,12,"right","","warm up","",""
"2020-09-22","16:21:45","squat, split","dumbbell, pair",40,10,"right","","slow, full range of motion","",""
"2020-09-22","16:21:16","squat, split","dumbbell, pair",40,10,"left","","slow, full range of motion","",""
"2020-09-22","16:20:06","squat, split","dumbbell, pair",40,10,"left","","slow, full range of motion","",""
"2020-09-22","16:19:24","squat, split","dumbbell, pair",40,10,"right","","slow, full range of motion","",""
"2020-09-22","16:18:23","squat, split","dumbbell, pair",40,10,"right","","slow, full range of motion","",""
"2020-09-22","16:17:54","squat, split","dumbbell, pair",40,10,"left","","slow, full range of motion","",""
"2020-09-22","16:16:45","squat, split","dumbbell, pair",40,10,"left","","slow, full range of motion","",""
"2020-09-22","16:16:01","squat, split","dumbbell, pair",40,10,"right","","slow, full range of motion","",""
"2020-09-22","16:14:40","bicep curl","dumbbell, pair",40,10,"both","","amrap / until failure, cheating","",""
"2020-09-22","16:12:43","bicep curl","dumbbell, pair",40,6,"both","","","",""
"2020-09-22","16:11:28","bicep curl","dumbbell, pair",40,8,"both","","","",""
"2020-09-22","16:09:52","bicep curl","dumbbell, pair",40,6,"both","","","",""
"2020-09-22","16:08:49","bicep curl","dumbbell, pair",30,15,"both","","warm up","",""
"2020-09-22","16:07:23","front raise","dumbbell, pair",30,10,"both","","amrap / until failure","",""
"2020-09-22","16:06:11","front raise","dumbbell, pair",30,6,"both","","","",""
"2020-09-22","16:04:59","front raise","dumbbell, pair",20,12,"both","","","",""
"2020-09-22","16:03:47","front raise","dumbbell, pair",20,12,"both","","","",""
"2020-09-22","16:02:14","front raise","dumbbell, pair",20,12,"both","","","",""
"2020-09-22","16:00:58","front raise","dumbbell, pair",10,15,"both","","warm up","","a bit too light"
"2020-09-22","15:59:15","rows, upright","dumbbell, pair",30,16,"both","","amrap / until failure, fast","",""
"2020-09-22","15:57:49","rows, upright","dumbbell, pair",30,13,"both","","amrap / until failure, fast","",""
"2020-09-22","15:56:47","rows, upright","dumbbell, pair",30,10,"both","","","",""
"2020-09-22","15:56:07","rows, upright","dumbbell, pair",30,10,"both","","","",""
"2020-09-22","15:55:02","rows, upright","dumbbell, pair",30,8,"both","","","",""
"2020-09-22","15:54:12","rows, upright","kettlebell",18,15,"both","","warm up","",""
"2020-09-22","15:52:21","session start",NA,NA,NA,NA,NA,NA,NA,NA
