date,time,exercise,equipment,weight,repetitions,hand,grip,quality,support,notes
2020-10-06,18:16:52,"rows, upright","dumbbell, pair",30,15,both/neutral,,"amrap / until failure, fast",,
2020-10-06,18:15:30,"rows, upright","dumbbell, pair",30,15,both/neutral,,fast,,
2020-10-06,18:13:53,"rows, upright","dumbbell, pair",30,15,both/neutral,,fast,,
2020-10-06,18:12:06,"rows, upright","dumbbell, pair",30,15,both/neutral,,fast,,
2020-10-06,18:10:42,"rows, upright","dumbbell, pair",30,12,both/neutral,,fast,,
2020-10-06,18:09:22,shoulder press,"dumbbell, pair",40,7,both/neutral,,full range of motion,,
2020-10-06,18:07:33,shoulder press,"dumbbell, pair",40,6,both/neutral,,full range of motion,,
2020-10-06,18:05:53,shoulder press,"dumbbell, pair",30,15,both/neutral,,full range of motion,,
2020-10-06,18:04:07,shoulder press,"dumbbell, pair",30,15,both/neutral,,full range of motion,,
2020-10-06,18:02:12,shoulder press,"dumbbell, pair",30,12,both/neutral,,,,**edit total weight on everything here x 2 when CSV is created ... woops
2020-10-06,18:00:16,hammer curl,"dumbbell, pair",40,8,both/neutral,,"amrap / until failure, full range of motion",,
2020-10-06,17:58:54,hammer curl,"dumbbell, pair",40,8,both/neutral,,full range of motion,,
2020-10-06,17:57:54,hammer curl,"dumbbell, pair",40,8,both/neutral,,cheating,,slight swing
2020-10-06,17:55:18,hammer curl,"dumbbell, pair",40,8,both/neutral,,cheating,,slight swing
2020-10-06,17:53:40,hammer curl,"dumbbell, pair",40,8,both/neutral,,cheating,,slight swing
2020-10-06,17:52:32,bicep curl,"dumbbell, pair",40,8,both/neutral,,cheating,,
2020-10-06,17:50:56,bicep curl,"dumbbell, pair",40,7,both/neutral,,cheating,,
2020-10-06,17:49:29,bicep curl,"dumbbell, pair",40,6,both/neutral,,cheating,,
2020-10-06,17:48:17,bicep curl,"dumbbell, pair",30,12,both/neutral,,,,
2020-10-06,17:46:36,bicep curl,"dumbbell, pair",30,12,both/neutral,,,,
2020-10-06,17:45:10,bicep curl,"dumbbell, pair",30,12,both/neutral,,,,
2020-10-06,17:44:16,bicep curl,"dumbbell, pair",30,12,both/neutral,,warm up,,
2020-10-06,17:43:04,session start,NA,NA,NA,NA,NA,NA,NA,NA
