"date","time","exercise","equipment","weight","repetitions","notes"
"2020-09-08","17:15:23","kettlebell swings","kettlebell",18,40,""
"2020-09-08","17:11:54","kettlebell swings","kettlebell",18,35,""
"2020-09-08","17:08:27","kettlebell swings","kettlebell",18,30,""
"2020-09-08","17:03:52","kettlebell swings","kettlebell",18,25,""
"2020-09-08","17:01:41","kettlebell swings","kettlebell",18,20,""
"2020-09-08","16:59:42","rows, bent over","dumbbell, pair",80,5,"failed 6th rep"
"2020-09-08","16:58:43","rows, bent over","dumbbell, pair",80,4,""
"2020-09-08","16:58:01","rows, bent over","dumbbell, pair",40,16,""
"2020-09-08","16:54:23","rows, bent over","dumbbell, pair",40,14,""
"2020-09-08","16:51:04","rows, bent over","dumbbell, pair",40,12,""
"2020-09-08","16:49:04","bicep curl","dumbbell, pair",40,12,"cheating movements"
"2020-09-08","16:47:22","bicep curl","dumbbell, pair",40,10,""
"2020-09-08","16:45:44","bicep curl","dumbbell, pair",40,10,""
"2020-09-08","16:44:13","bicep curl","dumbbell, pair",40,8,""
"2020-09-08","16:44:05","bicep curl","dumbbell, pair",30,8,""
"2020-09-08","16:42:49","bicep curl","dumbbell, pair",30,12,""
"2020-09-08","16:39:13","shoulder press","dumbbell, pair",30,12,""
"2020-09-08","16:37:43","shoulder press","dumbbell, pair",30,12,""
"2020-09-08","16:36:08","shoulder press","dumbbell, pair",30,10,""
"2020-09-08","16:34:42","shoulder press","dumbbell, pair",30,10,""
"2020-09-08","16:32:29","shoulder press","dumbbell, pair",30,8,""
"2020-09-08","16:31:07","shoulder press","dumbbell, pair",20,12,""
