"date","time","exercise","equipment","weight","repetitions","hand","grip","quality","support","notes"
"2020-09-17","17:21:28","deadlift, sumo","kettlebell",18,62,"both","","amrap / until failure, fast","","I wanted my workout to end. Freaking on my period. Goodbye!"
"2020-09-17","17:18:34","deadlift, sumo","kettlebell",18,20,"both","","fast","",""
"2020-09-17","17:15:41","deadlift, sumo","kettlebell",18,15,"both","","fast","",""
"2020-09-17","17:15:06","deadlift, sumo","kettlebell",18,12,"both","","fast","",""
"2020-09-17","17:14:08","deadlift, sumo","kettlebell",18,10,"both","","","",""
"2020-09-17","17:13:19","squat, sumo","kettlebell",18,35,"both","","fast","",""
"2020-09-17","17:10:24","squat, sumo","kettlebell",18,30,"both","","fast","",""
"2020-09-17","17:07:41","squat, sumo","kettlebell",18,25,"both","","","",""
"2020-09-17","17:05:35","squat, sumo","kettlebell",18,20,"both","","","",""
"2020-09-17","17:04:03","squat, sumo","kettlebell",18,20,"both","","","",""
"2020-09-17","17:02:00","chest press, floor","dumbbell, pair",40,22,"both","","amrap / until failure, fast","",""
"2020-09-17","16:58:32","chest press, floor","dumbbell, pair",40,20,"both","","fast","",""
"2020-09-17","16:56:37","chest press, floor","dumbbell, pair",40,20,"both","","fast","",""
"2020-09-17","16:55:22","chest press, floor","dumbbell, pair",40,17,"both","","","",""
"2020-09-17","16:53:13","chest press, floor","dumbbell, pair",40,15,"both","","warm up","",""
"2020-09-17","16:48:19","skull crushers","dumbbell, pair",30,12,"both","","amrap / until failure","",""
"2020-09-17","16:46:51","skull crushers","dumbbell, pair",30,12,"both","","","",""
"2020-09-17","16:44:59","skull crushers","dumbbell, pair",30,10,"both","","","",""
"2020-09-17","16:43:44","skull crushers","dumbbell, pair",30,8,"both","","","",""
"2020-09-17","16:42:36","skull crushers","dumbbell, pair",30,10,"both","","","",""
"2020-09-17","16:40:50","skull crushers","dumbbell, single",20,20,"both","","full range of motion","",""
"2020-09-17","16:38:49","tricep kickbacks, single arm","dumbbell, single",15,15,"left","","","",""
"2020-09-17","16:38:45","tricep kickbacks, single arm","dumbbell, single",15,15,"right","","","",""
"2020-09-17","16:36:49","tricep kickbacks, single arm","dumbbell, single",15,12,"left","","fast","",""
"2020-09-17","16:36:47","tricep kickbacks, single arm","dumbbell, single",15,12,"right","","fast","",""
"2020-09-17","16:34:20","tricep kickbacks, single arm","dumbbell, single",15,12,"left","","","",""
"2020-09-17","16:33:55","tricep kickbacks, single arm","dumbbell, single",15,12,"right","","","",""
"2020-09-17","16:32:52","tricep kickbacks, single arm","dumbbell, single",15,12,"left","","","",""
"2020-09-17","16:32:17","tricep kickbacks, single arm","dumbbell, single",15,12,"right","","","",""
"2020-09-17","16:31:19","tricep kickbacks, single arm","dumbbell, single",10,12,"left","","","",""
"2020-09-17","16:30:50","tricep kickbacks, single arm","dumbbell, single",10,12,"right","","","",""
"2020-09-17","16:30:00","tricep kickbacks, single arm","dumbbell, single",10,10,"left","","warm up","",""
"2020-09-17","16:29:31","tricep kickbacks, single arm","dumbbell, single",10,10,"right","","warm up","",""
"2020-09-17","16:29:04","session start",NA,NA,NA,NA,NA,NA,NA,NA
